id,ra_deg,dec,mag,ci,spect,lum,proper,dist,x,y,z
25,0.0795,-44.2906,6.28,0.763,G3IV,17.7337,,81.367,58.2431,0.0808,-56.8184
34,0.0996,26.9181,6.43,0.514,F7.5IV-V,12.9897,,74.6269,66.5413,0.1156,33.7848
43,0.1289,59.5597,6.18,1.032,G9III-IV,54.5507,,136.2398,69.0244,0.1553,117.4601
50,0.143,-53.0977,6.49,0.616,G1IV,7.7983,,59.4177,35.6774,0.089,-47.514
63,0.1818,45.2533,6.36,-0.047,B9p SiEu,87.9023,,187.9699,132.3251,0.4198,133.5012
88,0.2691,-48.8099,5.71,0.911,G8III,149.6925,,181.8182,119.7368,0.5624,-136.8234
106,0.3302,49.9816,6.22,0.97,G7II-III,112.8236,,199.6008,128.348,0.7397,152.8618
107,0.3338,-50.3374,5.53,1.615,M2III,148.0471,,166.3894,106.1989,0.6188,-128.0892
122,0.3992,-77.0657,4.78,1.254,K2III,47.2933,,66.5779,14.902,0.1038,-64.8886
124,0.4042,61.2228,5.58,0.407,F0III,4541.5071,,943.3962,454.1443,3.2041,826.8852
137,0.4327,42.3671,6.25,-0.042,B9IIIp Mn,386.1891,,374.5318,276.7119,2.0898,252.389
145,0.456,-3.0275,5.13,-0.128,B7III-IV,149.8304,,139.2758,139.077,1.107,-7.3559
154,0.4901,-6.0141,4.37,1.631,M3III,272.8978,,132.4503,131.7165,1.1267,-13.8772
171,0.5421,27.0823,5.8,0.69,G3V,0.6172,,12.1699,10.835,0.1025,5.5406
183,0.583,-29.7204,5.04,-0.15,B4V,199.3425,,154.0832,133.8074,1.3616,-76.3895
186,0.6007,8.9568,6.33,0.182,A6V,38.6189,,122.8501,121.3454,1.2722,19.1265
194,0.6238,8.4855,5.7,0.315,F0V,6.223,,36.9004,36.4943,0.3973,5.445
208,0.6504,66.099,5.87,1.073,G8III,39084089.5792,,100000.0,40513.1986,459.8784,91424.6644
238,0.7395,-20.0459,6.25,0.526,F6/F7V,10.2991,,61.1621,57.452,0.7416,-20.9647
253,0.7827,-24.1451,6.46,1.176,K1III,94.189,,203.666,185.8304,2.5388,-83.3095
274,0.8571,63.6405,6.24,0.332,B3Ia,1620.317,,763.3588,338.8946,5.0702,683.9893
300,0.935,-17.336,4.55,-0.047,B9IVn,91.8756,,83.4725,79.6701,1.3002,-24.8727
302,0.9651,66.7122,6.31,1.629,M4,184.3317,,265.9574,105.1314,1.7711,244.29
330,1.0569,62.2877,5.9,0.274,A1III,38018939.6321,,100000.0,46495.3543,857.7928,88529.3523
343,1.0825,-16.529,5.78,1.084,K0III,34.898,,90.6618,86.8998,1.642,-25.7934
345,1.0846,-29.2688,6.38,0.006,A1V,38.089,,124.8439,108.8862,2.0615,-61.0372
355,1.1255,-10.5095,4.99,1.619,K3Ibvar,3610.7715,,641.0256,630.1505,12.38,-116.9224
366,1.1524,42.0925,6.11,0.159,B9III,467.3045,,386.1004,286.453,5.7625,258.8146
377,1.172,-71.4369,5.59,-0.1,B8III,155.7399,,175.4386,55.839,1.1423,-166.3112
379,1.1746,67.1664,5.68,1.051,K1III,39.9945,,92.6784,35.9568,0.7372,85.4158
394,1.2236,34.6598,6.09,0.632,G2V,4.9023,,39.185,32.224,0.6883,22.2846
399,1.2333,26.6488,6.25,1.368,K4IIIb,110.1539,,200.0,178.7132,3.8474,89.704
410,1.2549,27.6748,6.47,0.946,G8II,63.5038,,168.0672,148.8043,3.2597,78.0592
417,1.2659,-0.503,6.32,1.099,G9III:,49.7966,,138.8889,138.8496,3.0683,-1.2194
418,1.2756,61.314,5.8,-0.067,B8MNp...,204.9274,,221.7295,106.4059,2.3693,194.5151
441,1.3339,-5.7076,4.61,1.029,K1III,19.4626,,39.4945,39.2881,0.9148,-3.9278
475,1.4248,13.3963,5.55,0.901,G5III,68.5488,,114.2857,111.1417,2.7644,26.4782
517,1.5653,58.4367,5.98,0.687,G5V,1.6293,,21.4777,11.2381,0.3071,18.3003
521,1.5792,-49.0752,5.7,0.519,G1IV...,3.0227,,25.7136,16.8378,0.4642,-19.4284
530,1.6105,64.1962,5.57,-0.023,B9III,364.4182,,265.9574,115.7232,3.2538,239.4387
543,1.6531,29.0215,6.07,0.752,K0V,0.6076,,13.6705,11.949,0.3449,6.6321
559,1.7087,-23.1075,6.19,0.386,F2IV,4.5165,,39.3856,36.2096,1.0802,-15.4572
601,1.8261,-17.387,6.2,0.133,A2IV/V,89.3717,,176.0563,167.9266,5.3539,-52.6099
634,1.9338,-2.5487,6.43,-0.146,B8IIIsp...,78.5597,,183.4862,183.2003,6.1856,-8.1593
635,1.9454,-22.5086,5.93,0.141,A1V,22.7196,,78.3699,72.3581,2.4578,-30.0017
654,2.0145,-33.5293,5.67,1.119,K1III,42.3838,,94.9668,79.1157,2.7829,-52.4562
663,2.0504,-2.4477,6.18,1.366,K2III,229.2979,,279.3296,278.8961,9.9849,-11.9295
670,2.0731,-8.8241,5.99,1.034,G8III:,33.9156,,98.4252,97.1966,3.5183,-15.0986
676,2.0969,29.0904,2.07,-0.038,B9p,114.4986,Alpheratz,29.7442,25.9747,0.951,14.4613
693,2.1369,63.204,6.41,0.998,G3II,323.5937,,369.0037,166.2366,6.2029,329.3792
694,2.1396,-17.5782,6.11,1.664,M0/M1IIICNp,1047.1285,,578.0347,550.6597,20.5726,-174.5702
697,2.1707,36.6271,6.21,0.504,F8IV,3.0088,,32.4465,26.0208,0.9863,19.3577
714,2.2172,25.463,6.24,0.976,K0III,53.3089,,138.5042,124.9567,4.8379,59.5468
726,2.2507,28.2475,6.47,0.242,A4Vm,27.6439,,110.8647,97.5866,3.8353,52.4703
727,2.2601,18.212,5.57,1.043,G9III,39.3731,,87.4126,82.9692,3.2745,27.3193
728,2.2599,-54.0019,6.32,0.738,G4IV...,42.5402,,128.3697,75.3916,2.9752,-103.8558
744,2.2933,59.1498,2.28,0.38,F2III-IV,30.0608,Caph,16.7842,8.6,0.3444,14.4094
758,2.3329,79.7145,6.01,0.203,A7IV,38.2296,,105.4852,18.819,0.7667,103.7901
759,2.3378,-27.9879,5.42,0.414,F3V,35.4813,,77.4593,68.3432,2.7901,-36.3505
763,2.3525,-45.7474,3.88,1.013,K0III,47.7749,,44.2087,30.8238,1.2663,-31.6654
796,2.4671,-62.2968,6.34,0.164,A6V,44.3404,,132.2751,61.4366,2.647,-117.1121
811,2.5092,11.1458,5.54,-0.064,B9V,46.4301,,93.633,91.7789,4.0219,18.0999
812,2.5094,-82.224,5.29,1.049,K1/K2III,40.6256,,78.064,10.5519,0.4624,-77.3462
838,2.5786,-5.2486,5.84,0.973,K1III,13.6647,,58.309,58.0057,2.6123,-5.3339
839,2.5802,46.0723,5.01,0.405,F2II,1229.1362,,377.3585,261.5272,11.7852,271.7794
871,2.6785,-12.5799,5.84,1.0,K0III,22.6152,,75.0188,73.1379,3.4216,-16.3392
908,2.8161,-15.468,4.89,0.487,F5V,3.3884,,18.7477,18.0468,0.8877,-5.0
928,2.8934,-27.7997,5.41,1.346,K2III,353.5086,,243.309,214.9527,10.8642,-113.4751
948,2.9333,-35.1331,5.24,0.459,F3/F5V,3.1623,,21.2766,17.3776,0.8904,-12.2442
965,2.9961,48.1524,6.18,1.467,K4III,119.8947,,202.0202,134.5939,7.0446,150.4893
981,3.0416,-17.9383,5.29,1.478,K4III,242.7728,,190.8397,181.307,9.6339,-58.7772
